Entity,Field,Type,Required,PK,FK,References,Calculated,Description,Source,Status
TournamentPlayer,id,UUID,YES,YES,NO,,NO,Unique tournament player relationship,HKS,ACTIVE
TournamentPlayer,tournament_id,UUID,YES,NO,YES,Tournament.id,NO,Tournament,HKS,ACTIVE
TournamentPlayer,player_id,UUID,YES,NO,YES,Player.id,NO,Participating player,HKS,ACTIVE
,,,,,NO,,,,,ACTIVE
TournamentGame,id,UUID,YES,YES,NO,,NO,Unique tournament game,HKS,ACTIVE
TournamentGame,tournament_id,UUID,YES,NO,YES,Tournament.id,NO,Tournament,HKS,ACTIVE
TournamentGame,home_team_id,UUID,YES,NO,YES,Team.id,NO,Home team,HKS,ACTIVE
TournamentGame,away_team_id,UUID,YES,NO,YES,Team.id,NO,Away team,HKS,ACTIVE
TournamentGame,date,DATETIME,YES,NO,NO,,NO,Game date,HKS,ACTIVE
TournamentGame,status,ENUM,YES,NO,NO,,NO,Game status,HKS,ACTIVE
,,,,,,,,,,
TournamentGame,division_id,UUID,YES,NO,YES,TournamentDivision.id,NO,Divisie,MANAGER,PLANNED
TournamentGame,game_type,ENUM,YES,NO,NO,,NO,Type wedstrijd,MANAGER,ACTIVE
,,,,,,,,,,ACTIVE
,,,,,,,,,,ACTIVE
,,,,,,,,,,ACTIVE
,,,,,,,,,,ACTIVE
,,,,,,,,,,ACTIVE
TournamentGame,game_type,ENUM,YES,NO,NO,,NO,Type wedstrijd,MANAGER,ACTIVE
TeamGameStats,shots_against,INTEGER,NO,NO,NO,,NO,Shots against,MANAGER,ACTIVE
TournamentGame,away_score,INTEGER,NO,NO,NO,,NO,Uitscore,MANAGER,PLANNED
TournamentGoalEvent,game_id,UUID,YES,NO,YES,TournamentGame.id,NO,Game,HKS,ACTIVE
TournamentGoalEvent,scorer_player_id,UUID,YES,NO,YES,Player.id,NO,Goal scorer,HKS,ACTIVE
,,,,,,,,,,ACTIVE
TournamentPenalty,id,UUID,YES,YES,NO,,NO,Unique tournament penalty,HKS,ACTIVE
TournamentPenalty,game_id,UUID,YES,NO,YES,TournamentGame.id,NO,Game,HKS,ACTIVE
TournamentPenalty,player_id,UUID,YES,NO,YES,Player.id,NO,Player,HKS,ACTIVE
TournamentPenalty,penalty_type,ENUM,YES,NO,NO,,NO,Penalty type,HKS,ACTIVE
,,,,,,,,,,ACTIVE
Schedule,id,UUID,YES,YES,NO,,NO,Scheduled game identifier,MANAGER,PLANNED
Schedule,season_id,UUID,YES,NO,YES,Season.id,NO,Season,MANAGER,PLANNED
Schedule,home_team_id,UUID,YES,NO,YES,Team.id,NO,Home team,MANAGER,PLANNED
Schedule,away_team_id,UUID,YES,NO,YES,Team.id,NO,Away team,MANAGER,PLANNED
Official,name,TEXT,YES,NO,NO,,NO,Official name,MANAGER,PLANNED
Official,role,ENUM,YES,NO,NO,,NO,Official role,MANAGER,PLANNED
,,,,,,,,,,
GameOfficial,id,UUID,YES,YES,NO,,NO,Game-official relationship,MANAGER,PLANNED
GameOfficial,game_id,UUID,YES,NO,YES,Game.id,NO,Game,MANAGER,PLANNED
GameOfficial,official_id,UUID,YES,NO,YES,Official.id,NO,Official,MANAGER,PLANNED
,,,,,,,,,,
Contract,id,UUID,YES,YES,NO,,NO,Unique contract,MANAGER,PLANNED
Contract,player_id,UUID,YES,NO,YES,,NO,Player,MANAGER,PLANNED
Contract,team_id,UUID,YES,NO,YES,Team.id,NO,Team,MANAGER,PLANNED
Contract,start_date,DATE,YES,NO,NO,,NO,Contract start,MANAGER,PLANNED
Contract,end_date,DATE,NO,NO,NO,,NO,Contract end,MANAGER,PLANNED
Contract,status,ENUM,YES,NO,NO,,NO,Contract status,MANAGER,PLANNED
,,,,,,,,,,
Transfer,id,UUID,YES,YES,NO,,NO,Unique transfer,MANAGER,PLANNED
Transfer,player_id,UUID,YES,NO,YES,Player.id,NO,Player,MANAGER,PLANNED
Transfer,from_team_id,UUID,NO,NO,YES,Team.id,NO,Previous team,MANAGER,PLANNED
Transfer,to_team_id,UUID,YES,NO,YES,Team.id,NO,New team,MANAGER,PLANNED
Transfer,date,DATE,YES,NO,NO,,NO,Transfer date,MANAGER,PLANNED
Transfer,status,ENUM,YES,NO,NO,,NO,Transfer status,MANAGER,PLANNED
,,,,,,,,,,
Trade,id,UUID,YES,YES,NO,,NO,Unique trade,MANAGER,PLANNED
Trade,date,DATE,YES,NO,NO,,NO,Trade date,MANAGER,PLANNED
Trade,status,ENUM,YES,NO,NO,,NO,Trade status,MANAGER,PLANNED
Trade,description,TEXT,NO,NO,NO,,NO,Trade description,MANAGER,PLANNED
,,,,,,,,,,
Draft,id,UUID,YES,YES,NO,,NO,Unique draft,MANAGER,PLANNED
Draft,season_id,UUID,YES,NO,YES,Season.id,NO,Season,MANAGER,PLANNED
Draft,name,TEXT,YES,NO,NO,,NO,Draft name,MANAGER,PLANNED
Draft,status,ENUM,YES,NO,NO,,NO,Draft status,MANAGER,PLANNED
,,,,,,,,,,
DraftPick,id,UUID,YES,YES,YES,,NO,Unique draft pick,MANAGER,PLANNED
DraftPick,draft_id,UUID,YES,NO,YES,Draft.id,NO,Draft,MANAGER,PLANNED
DraftPick,team_id,UUID,YES,NO,YES,Team.id,NO,Selecting team,MANAGER,PLANNED
DraftPick,player_id,UUID,YES,NO,YES,Player.id,NO,Selected player,MANAGER,PLANNED
DraftPick,round,INTEGER,YES,NO,NO,,NO,Draft round,MANAGER,PLANNED
DraftPick,pick_number,INTEGER,YES,NO,NO,,NO,Pick number,MANAGER,PLANNED
,,,,,,,,,,
Salary,id,UUID,YES,YES,NO,,NO,Unique salary record,MANAGER,PLANNED
Salary,player_id,UUID,YES,NO,YES,Player.id,NO,Player,MANAGER,PLANNED
Salary,team_id,UUID,YES,NO,YES,Team.id,NO,Team,MANAGER,PLANNED
Salary,season_id,UUID,YES,NO,YES,Season.id,NO,Season,MANAGER,PLANNED
Salary,amount,DECIMAL,YES,NO,NO,,NO,Salary amount,MANAGER,PLANNED
,,,,,,,,,,
SalaryCap,id,UUID,YES,YES,NO,,NO,Unique salary cap record,MANAGER,PLANNED
SalaryCap,season_id,UUID,YES,NO,YES,Season.id,NO,Season,MANAGER,PLANNED
SalaryCap,amount,DECIMAL,YES,NO,NO,,NO,Salary cap amount,MANAGER,PLANNED
,,,,,,,,,,
Award,id,UUID,YES,YES,NO,,NO,Unique award,MANAGER,PLANNED
Award,name,TEXT,YES,NO,NO,,NO,Award name,MANAGER,PLANNED
Award,description,TEXT,NO,NO,NO,,NO,Award description,MANAGER,PLANNED
Award,type,ENUM,YES,NO,NO,,NO,Award type,MANAGER,PLANNED
,,,,,,,,,,
AwardResult,id,UUID,YES,YES,NO,,NO,Unique award result,MANAGER,PLANNED
AwardResult,award_id,UUID,YES,NO,YES,Award.id,NO,Award,MANAGER,PLANNED
AwardResult,player_id,UUID,NO,NO,YES,Player.id,NO,Winning player,MANAGER,PLANNED
AwardResult,team_id,UUID,NO,NO,YES,Team.id,NO,Winning team,MANAGER,PLANNED
AwardResult,season_id,UUID,YES,NO,YES,Season.id,NO,Season,MANAGER,PLANNED
,,,,,,,,,,
Achievement,id,UUID,YES,YES,NO,,NO,Unique achievement,MANAGER,PLANNED
Achievement,name,TEXT,YES,NO,NO,,NO,Achievement name,MANAGER,PLANNED
Achievement,description,TEXT,NO,NO,NO,,NO,Achievement description,MANAGER,PLANNED
,,,,,,,,,,
PlayerAchievement,id,UUID,YES,YES,NO,,NO,Player achievement,MANAGER,PLANNED
PlayerAchievement,player_id,UUID,YES,NO,YES,Player.id,NO,Player,MANAGER,PLANNED
PlayerAchievement,achievement_id,UUID,YES,NO,YES,Achievement.id,NO,Achievement,MANAGER,PLANNED
PlayerAchievement,season_id,UUID,NO,NO,YES,Season.id,NO,Season,MANAGER,PLANNED
PlayerAchievement,earned_at,DATETIME,YES,NO,NO,,NO,Date earned,MANAGER,PLANNED
,,,,,,,,,,
TeamAchievement,id,UUID,YES,YES,NO,,NO,Team achievement,MANAGER,PLANNED
TeamAchievement,team_id,UUID,YES,NO,YES,Team.id,NO,Team,MANAGER,PLANNED
TeamAchievement,achievement_id,UUID,YES,NO,YES,Achievement.id,NO,Achievement,MANAGER,PLANNED
TeamAchievement,season_id,UUID,NO,NO,YES,Season.id,NO,Season,MANAGER,PLANNED
TeamAchievement,earned_at,DATETIME,YES,NO,NO,,NO,Date earned,MANAGER,PLANNED
,,,,,,,,,,
AllStarEvent,id,UUID,YES,YES,NO,,NO,Unique All-Star event,MANAGER,PLANNED
AllStarEvent,name,TEXT,YES,NO,NO,,NO,Event name,MANAGER,PLANNED
AllStarEvent,season_id,UUID,YES,NO,YES,Season.id,NO,Season,MANAGER,PLANNED
AllStarEvent,date,DATETIME,NO,NO,NO,,NO,Event date,MANAGER,PLANNED
,,,,,,,,,,
AllStarSelection,id,UUID,YES,YES,NO,,NO,All-Star selection,MANAGER,PLANNED
AllStarSelection,event_id,UUID,YES,NO,YES,AllStarEvent.id,NO,Event,MANAGER,PLANNED
AllStarSelection,player_id,UUID,YES,NO,YES,Player.id,NO,Player,MANAGER,PLANNED
AllStarSelection,position,ENUM,NO,NO,NO,Position.id,NO,Selected position,MANAGER,PLANNED
,,,,,,,,,,
Training,id,UUID,YES,YES,NO,,NO,Unique training,MANAGER,PLANNED
Training,team_id,UUID,YES,NO,YES,Team.id,NO,Team,MANAGER,PLANNED
Training,season_id,UUID,YES,NO,YES,Season.id,NO,Season,MANAGER,PLANNED
Training,location_id,UUID,NO,NO,YES,Location.id,NO,Training location,MANAGER,PLANNED
Training,date,DATETIME,YES,NO,NO,,NO,Training date,MANAGER,PLANNED
,,,,,,,,,,
TrainingParticipant,id,UUID,YES,YES,NO,,NO,Training participation,MANAGER,ACTIVE
TrainingParticipant,training_id,UUID,YES,NO,YES,Training.id,NO,Training,MANAGER,ACTIVE
TrainingParticipant,player_id,UUID,YES,NO,YES,Player.id,NO,Player,MANAGER,ACTIVE
TrainingParticipant,status,ENUM,YES,NO,NO,,NO,Attendance status,MANAGER,ACTIVE
,,,,,,,,,,ACTIVE
Equipment,id,UUID,YES,YES,NO,,NO,Unique equipment,MANAGER,PLANNED
Equipment,name,TEXT,YES,NO,NO,,NO,Equipment name,MANAGER,PLANNED
Equipment,type,ENUM,YES,NO,NO,,NO,Equipment type,MANAGER,PLANNED
Equipment,description,TEXT,NO,NO,NO,,NO,Equipment description,MANAGER,PLANNED
,,,,,,,,,,
PlayerEquipment,id,UUID,YES,YES,NO,,NO,Player equipment relationship,MANAGER,ACTIVE
PlayerEquipment,player_id,UUID,YES,NO,YES,Player.id,NO,Player,MANAGER,PLANNED
PlayerEquipment,equipment_id,UUID,YES,NO,YES,Equipment.id,NO,Equipment,MANAGER,ACTIVE
PlayerEquipment,start_date,DATE,NO,NO,NO,,NO,Assignment start,MANAGER,PLANNED
PlayerEquipment,end_date,DATE,NO,NO,NO,,NO,Assignment end,MANAGER,PLANNED
,,,,,,,,,,
ScoutingReport,id,UUID,YES,YES,NO,,NO,Unique scouting report,MANAGER,PLANNED
ScoutingReport,player_id,UUID,YES,NO,YES,Player.id,NO,Player,MANAGER,PLANNED
ScoutingReport,author_user_id,UUID,YES,NO,YES,User.id,NO,Report author,MANAGER,PLANNED
ScoutingReport,date,DATETIME,YES,NO,NO,,NO,Report date,MANAGER,PLANNED
ScoutingReport,content,TEXT,YES,NO,NO,,NO,Report content,MANAGER,PLANNED
,,,,,,,,,,
PlayerRating,id,UUID,YES,YES,NO,,NO,Unique player rating,MANAGER,PLANNED
PlayerRating,player_id,UUID,YES,NO,YES,Player.id,NO,Player,MANAGER,PLANNED
PlayerRating,rater_user_id,UUID,YES,NO,YES,User.id,NO,Rater,MANAGER,PLANNED
PlayerRating,rating,DECIMAL,YES,NO,NO,,NO,Player rating,MANAGER,PLANNED
PlayerRating,date,DATETIME,YES,NO,NO,,NO,Rating date,MANAGER,PLANNED
,,,,,,,,,,
NewsArticle,id,UUID,YES,YES,NO,,NO,Unique news article,MANAGER,PLANNED
NewsArticle,title,TEXT,YES,NO,NO,,NO,Article title,MANAGER,PLANNED
NewsArticle,content,TEXT,YES,NO,NO,,NO,Article content,MANAGER,PLANNED
NewsArticle,author_user_id,UUID,NO,NO,YES,User.id,NO,Author,MANAGER,PLANNED
NewsArticle,published_at,DATETIME,NO,NO,NO,,NO,Publication date,MANAGER,PLANNED
NewsArticle,status,ENUM,YES,NO,NO,,NO,Article status,MANAGER,PLANNED
,,,,,,,,,,
Sponsor,id,UUID,YES,YES,NO,,NO,Unique sponsor,MANAGER,PLANNED
Sponsor,name,TEXT,YES,NO,NO,,NO,Sponsor name,MANAGER,PLANNED
Sponsor,website,TEXT,NO,NO,NO,,NO,Sponsor website,MANAGER,PLANNED
Sponsor,logo_url,TEXT,NO,NO,NO,,NO,Sponsor logo,MANAGER,PLANNED
,,,,,,,,,,
TeamSponsor,id,UUID,YES,YES,NO,,NO,Team sponsor relationship,MANAGER,PLANNED
TeamSponsor,team_id,UUID,YES,NO,YES,Team.id,NO,Team,MANAGER,PLANNED
TeamSponsor,sponsor_id,UUID,YES,NO,YES,Sponsor.id,NO,Sponsor,MANAGER,PLANNED
TeamSponsor,start_date,DATE,NO,NO,NO,,NO,Sponsorship start,MANAGER,PLANNED
TeamSponsor,end_date,DATE,NO,NO,NO,,NO,Sponsorship end,MANAGER,PLANNED
,,,,,,,,,,
LeagueSponsor,id,UUID,YES,YES,NO,,NO,League sponsor relationship,MANAGER,PLANNED
LeagueSponsor,league_id,UUID,YES,NO,YES,League.id,NO,League,MANAGER,PLANNED
LeagueSponsor,sponsor_id,UUID,YES,NO,YES,Sponsor.id,NO,Sponsor,MANAGER,PLANNED
LeagueSponsor,start_date,DATE,NO,NO,NO,,NO,Sponsorship start,MANAGER,PLANNED
LeagueSponsor,end_date,DATE,NO,NO,NO,,NO,Sponsorship end,MANAGER,PLANNED
,,,,,,,,,,
User,id,UUID,YES,YES,NO,,NO,Unique user identifier,HKS + MANAGER,ACTIVE
User,username,TEXT,YES,NO,NO,,NO,Username,HKS,ACTIVE
User,email,TEXT,NO,NO,NO,,NO,Email address,HKS,ACTIVE
User,role,ENUM,YES,NO,NO,,NO,User role,HKS + MANAGER,ACTIVE
User,status,ENUM,YES,NO,NO,,NO,User status,MANAGER,PLANNED
,,,,,,,,,,
UserTeam,id,UUID,YES,YES,NO,,NO,User-team relationship,MANAGER,PLANNED
UserTeam,user_id,UUID,YES,NO,YES,User.id,NO,User,MANAGER,PLANNED
UserTeam,team_id,UUID,YES,NO,YES,Team.id,NO,Team,MANAGER,PLANNED
,,,,,,,,,,
UserLeague,id,UUID,YES,YES,NO,,NO,User-league relationship,MANAGER,PLANNED
UserLeague,user_id,UUID,YES,NO,YES,User.id,NO,User,MANAGER,PLANNED
UserLeague,league_id,UUID,YES,NO,YES,League.id,NO,League,MANAGER,PLANNED
,,,,,,,,,,
Invitation,id,UUID,YES,YES,NO,,NO,Unique invitation,MANAGER,PLANNED
Invitation,email,TEXT,YES,NO,NO,,NO,Invited email address,MANAGER,PLANNED
Invitation,role,ENUM,YES,NO,NO,,NO,Invited role,MANAGER,PLANNED
Invitation,status,ENUM,YES,NO,NO,,NO,Invitation status,MANAGER,PLANNED
